entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll
440,46.4680625,20.09910547,19.04383594,8.581089844,0.2985125,-2.333529,-1.360644,1.3305858,2.9316642,-0.64990044,-0.19232847,1.533821,48.55385938,104.62825,39.56546094,17.36665234,-1,-1,1,1,11,13,11,13,-0.030714989,-0.30315208,0.053264618,0.37173462,2.3532484,2.5319235,0.60459375,0.07316849,0.021779092,0.3327704,0,0,0.03578667,0.14589408,0.04244111,-0.09950003,81.16764275,83.26514581,81.16764275,179.80342
441,88.44173438,64.69323047,24.00480859,18.0485293,2.575548,0.7219898,1.6572803,-0.7484636,-0.22122468,3.0697415,1.8168454,-0.34487957,584.36225,82.2998125,65.24135547,23.34435352,-1,-1,1,1,13,11,13,11,-2.0198326,-0.00270462,0.05632019,-0.024570465,0.5465232,2.3368237,2.9508815,2.6179616,0,0,0,0,0.004143628,0.005788712,0.014599377,0.15930687,87.16435455,89.8799741,87.16435455,338.4469873
442,52.48319531,33.6014375,33.41839453,31.0393457,-0.37536556,0.44600385,0.584437,-1.2943838,-2.5498521,-1.2941129,0.109483816,1.4296638,56.22423438,36.99934375,39.29001172,60.880875,-1,1,1,-1,11,13,11,13,0.030094147,0.09885979,0.12904167,-0.002901077,2.6624622,2.238341,2.1801834,0.71398926,0,0,0,0,-0.002493659,-0.013884162,0.028993716,-0.006414976,89.63245457,91.42863937,89.63245457,187.9525686
443,30.93242188,9.571393555,9.149230469,8.645391602,-1.1875687,-0.82788444,-2.177311,-1.1521512,-1.041515,-2.1044297,-1.4685929,-0.7393123,55.43183984,13.04358105,40.87842188,15.04709082,-1,1,-1,1,11,13,13,11,0.13516998,0.60528564,1.4436264,0.09100056,0.8645019,6.30937,13.595179,1.5270929,0,0,0.30725372,0,-0.003083594,-0.032977436,0.14653707,0.16278477,4.957110927,14.81437409,4.957110927,34.782672
444,48.30266797,45.78774609,17.63427734,9.277741211,1.5921592,0.5112331,1.8387237,2.1122072,1.6702738,-0.98047644,3.0602424,-2.201264,123.6025625,51.90283984,56.84883984,38.90837891,1,-1,-1,1,13,13,13,13,-0.046809196,0.044947624,0.000981331,-0.041867256,0.8607218,1.377962,0.95763105,1.4046007,0,0,0,0,-0.005391612,-0.000174331,0.00465339,0.07981507,12.99185649,105.6893061,12.99185649,143.6707904
445,200.0884531,117.3835313,67.95375781,33.413125,-2.217642,-1.151668,-1.0641109,-1.0280389,-3.0365403,-0.13756697,-1.2473027,-2.4411156,929.86225,204.222375,110.1971094,52.68067188,-1,-1,1,1,13,13,13,13,-0.15250397,0.02791977,0.010402679,-0.12901688,0.62115926,1.1346663,0.24778634,0.47764543,0.010845902,0,0,0,0.003388387,-0.00157747,-0.005090003,0.084903896,94.42964595,230.8168051,114.6803745,461.5573871
446,53.51365234,31.79314258,9.518617188,8.971422852,-0.59371024,0.3820764,0.26592886,1.0602329,0.26478428,-2.4969728,2.9838574,-2.2468703,63.22553906,34.14212891,9.857174805,14.50456641,1,-1,1,-1,11,11,11,13,-0.111787796,0.04899597,0.15095043,0.3473444,0.94021434,0.64377344,1.0873045,43.42612,0,0.07976398,0,0.41103214,0.014243829,0.036347117,-0.043216243,0.08899066,13.73608705,91.18993365,11.95676074,120.527542
447,43.40399609,35.03366797,15.84131543,14.50252148,-0.14897351,-1.181746,2.1512141,1.5282675,2.4541178,-0.5333742,3.05662,0.098731734,43.88652344,62.47911328,69.00184375,35.00251563,-1,1,-1,1,11,11,11,11,0.024433136,-0.07945061,-0.27558517,0.028318405,2.1257834,0.44746223,0.4896901,0.555403,0.03492494,0,0,0,0.007820769,0.02787571,0.003363766,-0.010486878,31.67488271,128.7291854,66.14573947,205.9435308
448,57.94832031,31.41605859,15.20481934,7.40266748,-0.9688556,-2.2079258,-2.4485574,0.64066863,2.1130095,0.19357313,-1.1318686,-2.204935,87.341,144.62,88.62934375,8.975206055,-1,1,1,1,11,11,11,13,-0.013332367,0.22168732,0.026855469,-0.100997925,3.5183797,0.494668,1.2807438,6.637836,0,0,0,0.1829734,-0.007531388,-0.00268268,0.04407565,-0.04929975,76.30773555,89.75681021,48.67764939,154.6978315
449,100.5191719,68.84655469,18.6890625,14.61084082,2.1474829,0.33724532,0.18929502,1.2083622,-1.415187,1.2758994,1.4263401,2.0471494,436.2559375,72.79891406,19.02490234,26.64055273,-1,1,-1,-1,11,11,11,11,0.003425837,0.060702562,0.014857054,0.037026644,2.4423966,1.335003,0.8587964,0.85211885,0,0.27169076,3.6858077,0,0.01874056,0.07209701,0.18434839,-0.028911404,7.568419277,236.4083817,20.27028348,286.3992974
450,64.66529688,37.55781641,9.352077148,8.00527002,2.1564984,1.7950481,-1.0052657,0.7051842,-2.8514721,-0.20981422,-2.026179,1.2119542,283.1227188,116.1641484,14.48908301,10.07958398,-1,1,1,-1,11,11,11,11,0.10809326,0.02413559,-0.048664093,0.13006783,2.4192092,1.4142591,0.37784573,2.5785387,0,0,0.13057923,0.24427779,-0.00786101,-0.002342543,0.032935813,0.03025709,24.01429195,116.123928,30.09891846,182.5793638
451,45.43807031,37.24470703,30.65968945,16.92709375,-0.17665292,-1.7964814,1.3657358,0.8594874,2.570765,-0.6427386,-1.254111,-1.5613316,46.14889063,115.3521172,63.98367578,23.57399609,-1,-1,1,1,11,13,11,13,-0.08765602,-0.13092041,-0.051977158,0.017131805,0.23319484,0.7687547,0.39690682,2.496373,0,0,0,0.061514333,-0.008520967,0.03104208,0.021281844,-0.014666728,90.86159691,94.72350071,90.86159691,241.0627001
452,139.5049688,23.82592188,11.47717969,9.181100586,-0.7213089,-0.17416137,-1.8026667,0.29184222,1.7171687,-0.6769152,-1.5440725,-0.22834045,177.3973125,24.18818164,35.75535938,9.574869141,1,-1,-1,1,13,11,13,11,-0.02596283,-0.085762024,0.043785095,0.057739258,3.0185556,0.46967378,0.4810076,0.22923611,0,0,0,0,-0.00336311,0.04516514,0.138079,0.049180865,9.573519053,91.88924543,9.573519053,167.0858234
453,76.09652344,65.72339063,17.50486523,15.69572363,0.39138323,-0.98837495,0.5870145,-0.092318065,-2.9256332,-1.5124452,1.1897968,2.135984,81.99957031,100.5254297,20.6084375,15.76265527,-1,1,-1,-1,11,11,11,11,0.115665436,-0.0316391,48.00097,0.03882599,0.7601385,2.387003,1.1037121,1.6509144,0,0,0,0.09280907,0.07163128,-0.008296782,-0.026183203,0.22458722,68.93569967,139.8696006,18.97135546,196.5326015
454,48.83426563,33.73445703,31.87508398,9.35884082,-1.0792224,2.1445622,-1.7126647,2.1955445,0.98267114,0.43289638,-2.2934031,0.47180733,80.14314844,145.9930156,91.2280625,42.56502734,1,-1,-1,1,11,13,11,13,-0.010570526,-15.130651,-0.043218613,-15.352238,1.6520035,1.1926224,0.50633454,0.72913045,0,0,0.037081923,0,-0.016917165,-0.009037275,0.016275527,-0.032575354,1.167342946,82.72864035,1.167342946,353.6944
455,138.6879844,109.1457969,8.947470703,7.111611816,-1.7246418,0.97869235,1.0270722,-0.033608846,2.9965093,-0.25483516,0.080360346,0.059452355,401.414875,165.7257031,14.0968252,7.116413086,1,-1,1,1,11,11,13,13,-0.033262253,0.013343811,-0.29624748,-20.042217,3.189168,3.979394,14.519183,0.9454016,0.11549621,0.05311519,0,0,0.037645772,0.004856177,-0.046247914,-0.045500997,507.0463727,507.0463727,8.867576941,536.3164169
456,44.58431641,17.2724668,14.86055176,13.50463086,-0.34158516,0.09170109,-0.34643373,-0.11302934,3.0256546,-0.7582767,0.11894946,-0.50441855,47.21076563,17.34546289,15.76161523,13.59098828,-1,1,-1,1,11,13,13,11,-0.027296066,-0.023611069,-0.064554214,0.056043625,0.07882851,3.0690773,0.3816352,1.0716294,0,0,0,0,0.005941928,-0.011999561,-0.04243531,0.060340244,15.33901166,48.47926411,15.33901166,90.72417639
457,286.3440313,110.54825,92.85196094,16.13705762,-1.0731107,0.065154776,-0.4114425,-0.020112602,0.79967487,-1.0048763,-1.7042601,-1.5973537,467.6579063,110.7829766,100.8226797,16.14032129,-1,-1,1,-1,13,11,11,11,0.06071329,-0.006590366,0.018059254,0.16050434,3.1469042,0.2107813,1.5271164,1.3452743,0.006966678,0.010833981,0,0,5.38E-06,-0.00311892,-0.005107304,0.048601184,15.79585121,84.82624529,147.1473164,511.1773987
458,36.60845313,29.67467188,8.41877832,8.255911133,-2.0373795,0.16789521,0.68748355,0.32753614,-1.5236067,1.8160918,-0.06960727,-0.09883146,142.7886094,30.09408789,10.48841309,8.70337207,-1,1,1,-1,13,13,13,13,0.06968689,-0.04193878,-74.6218,-73.51217,0.008335423,2.7869444,4.3323393,12.433127,0,0,0,0,-0.006620017,-0.010392044,0.0398753,-0.037352692,3.034338636,110.0278577,3.034338636,145.971219
459,59.27490234,33.31982813,8.458126953,7.272120117,1.5583867,0.9096738,-1.2752945,1.297226,-1.6890512,1.0112356,2.7293835,1.3546227,147.0499219,48.08330859,16.32073926,14.2989082,-1,1,1,1,11,11,13,13,-0.09597826,-0.003204823,0.13459349,2.6621041,1.9481593,1.5046566,4.688982,13.832369,0,0.04399301,0.44143945,0,0.05249169,0.008343129,0.13659438,-0.09342245,91.55538641,91.55538641,28.04401379,149.8363175
